Year	Winner's Name	Age	Jockey	Trainer	Owner	Dist.(miles)	Time	Purse	Gr.
2014	California Chrome	3	Victor Espinoza	Art Sherman	Steve Coburn & Perry Martin	1-3/16	1:54.84	$1,500,000	I
2013	Oxbow	3	Gary Stevens	D. Wayne Lukas	Calumet Farm	1-3/16	1:57.54	$1,000,000	I
2012	I'll Have Another	3	Mario Gutierrez	Doug O'Neill	J. Paul Reddam	1-3/16	1:55.94	$1,000,000	I
2011	Shackleford	3	Jesus Castanon	Dale Romans	Mike Lauffer & W.D. Cubbedge	1-3/16	1:56.47	$1,550,000	I
2010	Lookin At Lucky	3	Martin Garcia	Bob Baffert	Michael Pegram	1-3/16	1:55.47	$1,000,000	I
2009	Rachel Alexandra	3	Calvin Borel	Steve Asmussen	Stonestreet Stables/ H. T. McCormick	1-3/16	1:55.08	$1,100,000	I
2008	Big Brown	3	Kent Desormeaux	Richard Dutrow	IEAH Stables & Paul Pompa, Jr.	1-3/16	1:54.86	$1,000,000	I
2007	Curlin	3	Robby Albarado	Steve Asmussen	Stonestreet Stables	1-3/16	1:53.46	$1,000,000	I
2006	Bernardini	3	Javier Castellano	Tom Albertrani	Darley Stables	1-3/16	1:54.65	$1,000,000	I
2005	Afleet Alex	3	Jeremy Rose	Timothy Ritchey	Cash Is King Stable	1-3/16	1:55.04	$1,000,000	I
2004	Smarty Jones	3	Stewart Elliott	John Servis	Someday Farm	1-3/16	1:55.59	$1,000,000	I
2003	Funny Cide	3	Jose Santos	Barclay Tagg	Sackatoga Stable	1-3/16	1:55.61	$1,000,000	I
2002	War Emblem	3	Victor Espinoza	Bob Baffert	The Thoroughbred Corp.	1-3/16	1:56.40	$1,000,000	I
2001	Point Given	3	Gary Stevens	Bob Baffert	The Thoroughbred Corp.	1-3/16	1:55.40	$1,000,000	I
2000	Red Bullet	3	Jerry Bailey	Joe Orseno	Stronach Stables	1-3/16	1:56.00	$1,000,000	I
1999	Charismatic	3	Chris Antley	D. Wayne Lukas	Bob & Beverly Lewis	1-3/16	1:55.20	$1,000,000	I
1998	Real Quiet	3	Kent Desormeaux	Bob Baffert	Michael Pegram	1-3/16	1:54.60	$1,000,000	I
1997	Silver Charm	3	Gary Stevens	Bob Baffert	Bob & Beverly Lewis	1-3/16	1:54.80	$1,000,000	I
1996	Louis Quatorze	3	Pat Day	Nick Zito	Condren/Cornacchia/Hofmann	1-3/16	1:53.40	$800,000	I
1995	Timber Country	3	Pat Day	D. Wayne Lukas	Gainesway/Robert B. Lewis	1-3/16	1:54.40	$750,000	I
1994	Tabasco Cat	3	Pat Day	D. Wayne Lukas	Overbrook	1-3/16	1:56.40	$750,000	I
1993	Prairie Bayou	3	Mike Smith	Tom Bohannan	Loblolly Stable	1-3/16	1:56.60	$750,000	I
1992	Pine Bluff	3	Chris McCarron	Tom Bohannan	Loblolly Stable	1-3/16	1:55.60	$750,000	I
